id,name,code,account_type,reconcile,tag_ids
l10n_py_coa.account_5360104,Comisiones Pagadas por Vta.,5360104,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360105,Papeleria y Utiles,5360105,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360108,Fotocopias,5360108,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360109,Gastos de Envios,5360109,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360110,Gastos de Movilidad y Viatico,5360110,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360111,Timbrado de Cheques,5360111,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360112,Gastos de Escribania,5360112,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360113,Publicaciones y Avisos,5360113,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360114,Donaciones,5360114,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360115,Representaciones,5360115,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360117,Multas y Recargos,5360117,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360118,Intereses,5360118,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360119,Gastos de Despacho,5360119,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360121,Gastos de Salud,5360121,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360122,Depreciac.Edificios,5360122,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360123,Depreciac.Instalac.Casa Cent.,5360123,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360124,Depreciac.Rodados,5360124,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360125,Depreciac.Maquin.Fabricación,5360125,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360126,Depreciac.Maquinarias y Equipo,5360126,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360127,Depreciac.Equip de Conservac.,5360127,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360128,Depreciac.Muebles y Equipos,5360128,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360129,Depreciac.Muebl.y Equi.de Ofic,5360129,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360130,Depreciac.Herramientas,5360130,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360131,Depreciac.Utensilios y Enseres,5360131,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360132,Depreciac.Equip.de Informatica,5360132,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360133,Deprec.equipos de comunicación,5360133,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360134,Deprec. mejor.en terreno ajeno,5360134,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360135,Servicios personales,5360135,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360136,Cuotas sociales,5360136,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360137,Alq. de casilla de correo,5360137,expense,False,l10n_py_coa.account_tag_paraguay
